ID,Gender,Year Group,How would you describe your personality?,What time do you typically go to bed on weeknights?,Where do you prefer to do homework/study?,What do you enjoy doing for fun?,Do you enjoy having friends over in your room?,How would your friends describe you in one word?,cluster
216,Male,Class of 2027,I am extroverted,10PM or earlier,Away from the room,Going for events on/off-campus,Nope!,Chill,0
215,Male,Class of 2027,Somewhere in between,10PM or earlier,Away from the room,Going for events on/off-campus,Nope!,Chill,0
214,Male,Class of 2027,I am introverted,10PM or earlier,In the room,Going for events on/off-campus,"Not really, but I don't mind",Friendly,4
213,Male,Class of 2027,I am extroverted,10PM or earlier,Away from the room,Going for events on/off-campus,Nope!,Chill,0
1,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,12
2,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,0
3,Male,Class of 2027,I am introverted,10PM or earlier,In the room,Going for events on/off-campus,"Not really, but I don't mind",Friendly,4
4,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Responsible,14
5,Male,Class of 2025,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,6
6,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
8,Male,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, all the time",Friendly,6
9,Male,Class of 2027,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Fun,11
12,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,10
13,Male,Class of 2026,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Responsible,1
25,Male,Class of 2024,I am extroverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Organized,1
26,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, all the time",Chill,0
27,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,3
28,Male,Class of 2027,Somewhere in between,10PM or earlier,Away from the room,Going for events on/off-campus,"Yup, but not always",Organized,5
30,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,3
31,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,13
36,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,5
50,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Fun,15
51,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,Nope!,Responsible,8
52,Male,Class of 2026,Somewhere in between,10PM or earlier,Away from the room,Hanging out with friends,"Not really, but I don't mind",Organized,1
56,Male,Class of 2026,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,5
57,Male,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
62,Male,Class of 2027,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Chill,9
67,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,3
69,Male,Class of 2027,I am extroverted,10PM or earlier,In the room,Hanging out with friends,"Yup, but not always",Fun,11
74,Male,Class of 2027,I am extroverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Fun,11
75,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
77,Male,Class of 2027,Somewhere in between,10PM or earlier,In the room,Relaxing/Sleeping,Nope!,Responsible,0
78,Male,Class of 2027,I am extroverted,10PM or earlier,Away from the room,Relaxing/Sleeping,"Yup, all the time",Organized,4
80,Male,Class of 2026,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, all the time",Chill,7
83,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Fun,15
84,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Responsible,10
85,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,2
86,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Excellent ,0
87,Male,Class of 2026,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Chill,9
90,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,2
94,Male,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Yup, all the time",Friendly,11
95,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Responsible,6
101,Male,Class of 2027,I am extroverted,After Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Organized,1
103,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Organized,1
104,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Fun,3
107,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,12
109,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Not really, but I don't mind",Chill,9
110,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,"Not really, but I don't mind",Fun,5
111,Male,Class of 2027,Somewhere in between,After Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Friendly,0
112,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,2
113,Male,Class of 2025,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Fun,15
114,Male,Class of 2026,I am introverted,Between 10PM and Midnight (12AM),In the room,Hanging out with friends,"Yup, but not always",Chill,7
115,Male,Class of 2026,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Chill,0
116,Male,Class of 2025,I am introverted,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Chill,2
121,Male,Class of 2027,Somewhere in between,Between 10PM and Midnight (12AM),Away from the room,Relaxing/Sleeping,Nope!,Friendly,12
127,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Organized,0
131,Male,Class of 2026,Somewhere in between,After Midnight (12AM),In the room,Relaxing/Sleeping,Nope!,Organized,13
133,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Relaxing/Sleeping,"Yup, but not always",Organized,5
134,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Relaxing/Sleeping,"Yup, but not always",Friendly,3
135,Male,Class of 2025,I am introverted,After Midnight (12AM),In the room,Relaxing/Sleeping,"Not really, but I don't mind",Friendly,6
140,Male,Class of 2024,I am introverted,After Midnight (12AM),Away from the room,Hanging out with friends,"Not really, but I don't mind",Chill,7
142,Male,Class of 2025,Somewhere in between,Between 10PM and Midnight (12AM),In the room,Going for events on/off-campus,"Yup, all the time",Organized,8
143,Male,Class of 2025,I am extroverted,Between 10PM and Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,3
144,Male,Class of 2025,Somewhere in between,After Midnight (12AM),Away from the room,Hanging out with friends,"Yup, but not always",Friendly,3
